year,country,grouping,imports_total,exports_total,imports_intra,exports_intra,imports_USA,exports_USA,imports_CAN,exports_CAN,imports_MEX,exports_MEX
1990,CAN,41_43,819682517,437466250,223653218,217676368,220790700,216026241,-3,-3,2862518,1650127
1990,CAN,44_49,4504873655,18895359017,3892998705,13309338845,3886701394,13254263507,-6,-6,6297311,55075338
1990,CAN,50_63,4188040704,1064813332,1499286289,703957822,1463918212,692900020,-14,-14,35368077,11057802
1990,CAN,64_67,731370213,97168123,78642219,86654043,75572601,86533514,-4,-4,3069618,120529
1990,CAN,68_71,2527303999,3073543534,1777909904,1349658032,1747475657,1345481620,-4,-4,30434247,4176412
1990,CAN,72_83,6739104470,10352414791,5111371443,7439999761,5081963136,7366013833,-12,-12,29408307,73985928
1990,CAN,84_85,31422847703,16367079782,23809619415,13139871219,23063945690,13034030714,-2,-2,745673725,105840505
1990,CAN,86,211468674,600416319,200454616,502938538,200027919,502800911,-1,-1,426697,137627
1990,CAN,87,21717361301,27276951584,17588296792,26717002188,17241431052,26658984775,-1,-1,346865740,58017413
1990,CAN,88_89,2174514356,2714257809,1503499604,1943016808,1502676688,1905937606,-2,-2,822916,37079202
1990,CAN,90_97,6311028483,2984570298,4185541737,2408697888,4148139465,2397462954,-8,-8,37402272,11234934
1990,CAN,all,219701137614,251010556785,153450485835,191645614221,150467396550,190438127786,-2,-2,2983089285,1207486435
1990,MEX,01_05,1227706354,741040789,676024446,625886659,586709769,623073790,89314677,2812869,-5,-5
1990,MEX,06_15,2137411595,1949021559,1722880599,1761564810,1704948959,1631611846,17931640,129952964,-10,-10
1990,MEX,16_24,1179640786,660946547,549867563,569133774,544597306,548528409,5270257,20605365,-9,-9
1990,MEX,25_26,345808296,765008392,256622935,460243342,217941724,442369936,38681211,17873406,-2,-2
1990,MEX,2709,1017,8976589792,0,5115814901,0,5067146752,0,48668149,-1,-1
1990,MEX,28_38,2297815944,1696039502,1521091249,719885714,1510417084,707939741,10674165,11945973,-11,-11
